,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
41,GP,F,16,U,GT3,T,4,2,teacher,services,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,3,3,1,1,1,0,3.75,3.5,3.5
42,MS,F,17,R,GT3,T,1,1,other,services,,mother,3,1,1,no,yes,yes,no,yes,yes,yes,yes,5.0,2,1,1,2,1,0,2.75,2.5,1.0
43,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5.0,5,5,3,4,5,6,3.75,3.75,3.5
44,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5.0,5,5,2,4,5,16,2.5,2.25,2.25
45,GP,F,18,R,LE3,T,1,1,at_home,other,,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,5.0,2,2,1,1,3,1,4.0,4.0,4.0
46,GP,F,17,R,GT3,A,3,2,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,2,3,2,4,3.25,3.5,3.5
47,GP,M,18,U,LE3,T,3,4,services,other,,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,3,3,1,3,5,11,5.0,4.75,4.75
48,GP,F,16,U,GT3,T,4,3,health,other,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,5,1,5,2,2,5.0,5.0,5.0
49,GP,M,15,U,GT3,T,2,2,services,services,,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5,4,1,2,5,6,5.0,4.5,4.75
50,GP,F,15,R,GT3,T,3,3,services,services,,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4.0,2,1,2,3,3,8,3.5,3.5,3.5
51,MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5.0,3,4,1,1,5,0,3.5,3.25,3.25
52,GP,F,16,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,1.0,3,2,1,1,1,10,3.75,4.0,4.25
53,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,5.0,4,5,2,3,5,0,3.5,3.5,3.25
54,GP,M,16,U,GT3,T,3,4,other,other,,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3.0,4,5,2,4,2,-1,2.5,2.25,1.0
55,GP,M,15,U,LE3,A,2,1,services,other,,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4.0,5,5,2,5,5,0,3.0,3.25,3.5
56,GP,F,16,U,GT3,A,2,2,other,other,,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,3.0,3,4,1,1,4,0,4.0,4.25,4.5
57,GP,F,16,U,GT3,T,3,2,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,1.0,2,2,1,2,1,14,4.0,4.25,4.0
58,GP,M,15,U,LE3,T,4,3,teacher,services,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,3,1,1,4,2,4.75,5.0,5.5
59,GP,M,18,R,GT3,T,3,2,other,other,,mother,1,3,0,no,no,no,yes,no,yes,no,no,5.0,3,2,1,1,3,1,4.25,4.0,4.0
60,GP,F,16,U,GT3,T,3,3,other,other,,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5.0,3,2,1,1,4,4,3.0,3.5,3.5
61,GP,F,17,U,,T,1,1,at_home,services,,mother,1,2,0,no,,no,yes,yes,yes,yes,no,,3,3,1,1,3,0,3.0,3.0,3.25
62,GP,F,17,R,LE3,T,4,4,services,other,,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5.0,2,1,1,2,3,12,3.0,3.5,3.5
63,GP,M,15,U,GT3,T,2,2,services,services,,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5.0,4,1,1,1,1,0,3.0,3.0,3.75
64,GP,M,16,U,LE3,T,4,3,teacher,other,,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5.0,4,5,1,1,3,0,2.5,1.0,1.0
65,GP,M,15,U,GT3,T,3,4,other,other,,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4,3,1,2,4,6,4.5,4.25,4.25
66,GP,M,17,R,LE3,T,1,1,other,services,,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5.0,3,5,1,5,5,0,2.25,3.0,2.75
67,MS,F,17,R,GT3,T,3,1,at_home,other,,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4.0,5,4,2,3,1,17,3.5,3.5,3.5
68,GP,M,16,U,GT3,T,0,2,other,other,,mother,1,1,0,no,no,yes,no,no,yes,yes,no,4.0,3,2,2,4,5,0,4.25,4.75,4.75
69,GP,F,16,U,LE3,T,3,3,other,other,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,4,5,1,1,4,4,3.5,3.75,3.25
70,GP,M,15,U,GT3,T,4,2,other,other,,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3.0,3,3,1,1,3,0,3.5,3.5,3.5
71,GP,M,15,U,LE3,A,4,4,teacher,teacher,,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,5,3,1,1,4,6,5.5,5.75,5.75
72,GP,M,17,R,LE3,T,2,1,at_home,other,,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3.0,3,2,2,2,5,0,2.75,2.5,1.0
73,MS,F,19,U,LE3,T,3,2,services,services,,other,2,2,2,no,no,no,yes,yes,yes,no,yes,3.0,2,2,1,1,3,4,2.75,2.75,3.25
74,GP,F,17,U,GT3,A,4,4,other,teacher,,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4.0,1,4,1,1,1,6,2.5,2.25,2.5
75,GP,F,17,U,LE3,T,2,2,services,other,,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4.0,4,4,2,3,5,6,4.0,4.0,4.0
76,GP,F,15,R,GT3,T,3,4,services,teacher,,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4.0,2,2,2,2,5,0,4.0,1.0,1.0
77,MS,M,17,U,GT3,T,3,3,health,other,,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,5,4,2,3,3,2,4.25,4.25,4.25
78,GP,M,18,U,GT3,T,4,4,other,other,,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4.0,3,3,2,2,3,3,3.25,4.0,3.75
79,GP,F,18,U,LE3,T,3,3,services,services,,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5.0,3,3,1,1,1,7,5.0,4.75,5.25
80,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3.0,3,3,2,3,2,4,2.75,2.5,2.5
81,GP,F,15,U,GT3,T,4,4,services,at_home,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3,3,1,1,5,0,3.75,1.0,1.0
82,GP,F,15,U,,T,2,2,other,other,,mother,1,4,0,yes,,yes,no,yes,yes,yes,no,,1,2,1,1,3,8,2.75,3.0,3.0
83,GP,F,16,U,GT3,T,4,4,health,health,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4.0,4,2,1,1,3,0,4.5,4.5,4.5
84,GP,M,17,U,LE3,T,1,1,health,other,,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4.0,4,4,1,2,5,2,2.75,3.25,3.0
85,MS,M,18,U,LE3,T,1,3,at_home,services,,mother,1,1,1,no,no,no,no,yes,no,yes,yes,4.0,3,3,2,3,3,7,3.0,2.75,3.0
86,GP,F,15,R,GT3,T,3,4,services,health,,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,5,-1,4.0,4.0,3.75
87,GP,F,16,U,GT3,T,1,1,services,services,,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5.0,5,5,5,5,5,6,3.5,3.0,3.75
88,GP,F,18,U,GT3,T,4,4,teacher,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,4,3,3,5,2,3.75,3.75,3.75
89,GP,M,15,U,GT3,A,2,2,other,other,,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,5,2,1,1,3,0,4.5,5.0,5.0
90,GP,F,16,U,LE3,T,4,4,health,health,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5.0,4,5,1,1,4,4,4.5,4.75,5.0
91,GP,M,18,U,LE3,T,4,4,teacher,teacher,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,yes,1.0,4,2,2,2,1,5,5.0,4.75,5.0
92,GP,M,16,R,GT3,T,4,2,teacher,services,,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3,3,3,4,3,10,3.5,3.0,3.25
93,GP,M,17,U,LE3,T,2,2,other,other,,father,1,2,0,no,no,yes,yes,no,yes,yes,yes,4.0,4,2,5,5,4,4,4.5,4.25,4.25
94,MS,M,19,R,GT3,T,1,1,other,services,,mother,2,1,1,no,no,no,no,yes,yes,no,no,4.0,3,2,1,3,5,0,2.5,2.25,1.0
95,GP,M,16,U,GT3,T,3,2,other,other,,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5.0,4,3,1,1,5,0,4.0,4.5,4.75
96,GP,M,15,R,GT3,T,3,4,at_home,teacher,,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5.0,3,3,1,1,5,0,3.25,1.0,1.0
97,MS,M,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,2,3,3,3,5,5,3.0,3.25,3.25
98,GP,M,16,U,,A,3,4,services,other,home,mother,1,2,0,yes,,no,yes,yes,yes,yes,no,,3,3,1,1,5,4,3.75,3.75,3.75
99,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5.0,4,2,1,1,5,0,4.0,4.75,4.75
100,GP,F,16,U,LE3,T,2,2,other,at_home,,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4.0,3,3,2,2,5,14,3.5,3.5,3.25
101,GP,F,16,U,LE3,T,1,2,other,services,,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4.0,4,3,1,1,1,4,3.0,3.5,3.25
102,GP,F,17,R,GT3,T,2,2,other,other,,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5.0,3,2,1,2,3,18,2.75,2.5,2.5
103,GP,F,19,U,GT3,T,2,1,services,services,,other,1,3,1,no,no,yes,yes,yes,yes,yes,yes,4.0,3,4,1,3,3,4,3.75,4.0,3.75
104,GP,F,15,R,GT3,T,2,4,services,health,,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,5,2,3.5,3.25,3.0
105,GP,M,17,U,GT3,T,2,1,other,other,,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,5.0,4,5,1,2,5,0,2.25,1.0,1.0
106,GP,F,16,U,GT3,T,4,2,services,other,,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,2,3,1,1,5,2,4.75,5.0,5.0
107,GP,F,16,U,GT3,T,2,2,services,other,,mother,2,2,0,no,no,yes,yes,no,yes,yes,no,3.0,4,4,1,4,5,2,4.25,4.25,3.75
108,GP,M,15,U,GT3,T,4,4,services,services,,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,1,1,1,5,0,5.25,5.0,5.25
109,GP,M,18,U,GT3,T,2,2,other,services,,father,1,2,1,no,no,no,no,yes,no,yes,no,5.0,5,4,3,5,2,0,2.75,2.75,1.0
110,GP,F,16,U,GT3,T,4,4,services,services,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3.0,2,3,1,2,2,6,4.25,4.5,4.5
111,GP,F,15,U,GT3,T,1,2,at_home,other,,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4.0,3,2,1,1,5,2,3.5,3.75,3.75
112,GP,F,17,R,GT3,T,2,1,at_home,services,,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,2,5,1,2,5,2,2.5,2.5,2.5
113,MS,F,17,U,GT3,T,2,2,other,at_home,,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3.0,4,3,1,1,3,8,4.25,3.75,3.75
114,GP,F,15,R,,T,3,1,other,other,reputation,father,2,4,0,no,,no,no,no,yes,yes,no,,4,2,2,3,3,12,5.0,5.0,5.0
115,GP,F,18,U,GT3,T,4,3,other,other,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,3,4,1,1,5,9,3.25,3.5,3.25
116,GP,M,16,U,LE3,T,2,2,other,other,,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,4,2,4,5,0,4.25,4.25,4.0
117,GP,F,18,U,LE3,T,4,3,other,other,,other,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4.0,4,5,1,2,2,10,3.5,3.0,3.0
118,GP,M,16,R,GT3,T,4,3,services,other,,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3.0,3,3,1,1,4,2,3.75,4.75,4.75
119,GP,M,16,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3.0,4,3,2,3,3,10,3.25,3.0,3.0
120,GP,F,17,U,GT3,T,3,2,other,other,,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5.0,3,4,1,3,3,10,5.0,4.75,4.75
121,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,4,1,1,4,6,3.75,4.25,4.5
122,MS,F,17,U,LE3,A,3,2,services,other,,mother,2,2,0,no,no,no,no,yes,yes,no,yes,1.0,2,3,1,2,5,2,4.0,4.0,3.75
123,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,2,2,1,1,1,0,5.0,5.5,5.75
124,GP,F,18,R,GT3,T,4,4,teacher,other,reputation,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4.0,3,4,2,2,4,8,4.0,3.5,3.75
125,GP,F,18,U,GT3,T,2,3,other,services,,father,1,4,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,5,5,1,3,2,4,4.75,4.5,4.5
126,GP,F,17,U,GT3,T,3,4,at_home,services,,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,4.0,4,3,3,4,5,28,3.5,3.25,3.25
127,GP,M,18,U,,T,2,1,services,services,,mother,1,3,0,no,,yes,yes,yes,yes,yes,no,,2,4,1,3,2,6,4.75,4.5,4.5
128,GP,M,17,U,GT3,T,3,3,other,services,,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4.0,3,5,3,5,5,3,4.5,4.75,5.0
129,GP,M,18,R,LE3,T,3,2,services,other,,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,2,1,1,4,8,4.5,4.25,4.5
130,GP,M,15,U,LE3,T,2,2,services,services,,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5.0,3,3,1,3,4,4,4.75,4.75,4.75
131,GP,M,15,U,GT3,T,4,4,services,other,,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5.0,3,3,1,1,5,4,3.5,4.25,4.5
132,GP,M,20,U,GT3,A,3,2,services,other,,other,1,1,0,no,no,no,yes,yes,yes,no,no,5.0,5,3,1,1,5,0,5.25,5.5,5.5
133,GP,F,15,U,LE3,A,3,3,other,other,,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5.0,3,4,4,4,1,6,3.5,4.25,4.25
134,GP,F,16,U,GT3,T,3,1,services,other,,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,2,5,4,2.75,2.75,2.5
135,GP,F,18,R,GT3,T,3,1,other,other,,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,5.0,3,3,1,1,4,-1,3.25,3.0,2.75
136,GP,F,19,U,GT3,T,2,1,at_home,other,other,other,3,2,0,no,yes,no,no,yes,no,yes,yes,3.0,4,1,1,1,2,20,4.5,4.0,4.25
137,GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5.0,4,5,1,2,5,4,3.5,3.25,3.75
138,GP,F,17,U,GT3,A,3,3,health,other,,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3.0,3,3,1,3,3,6,3.0,2.75,3.25
139,GP,F,19,U,GT3,T,3,3,other,services,,other,1,2,2,no,yes,yes,yes,yes,yes,yes,no,4.0,3,5,3,3,5,15,3.25,3.25,3.25
140,GP,M,17,R,LE3,T,1,2,other,other,,mother,1,1,0,no,no,no,no,yes,yes,no,no,2.0,2,2,3,3,5,8,5.0,4.0,4.25
141,GP,F,16,U,GT3,T,2,1,other,other,,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4.0,5,2,1,1,5,20,4.25,4.0,4.0
142,GP,F,17,U,GT3,T,4,2,other,other,,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,1,3,0,4.75,4.0,4.5
143,GP,F,15,U,GT3,A,3,3,other,health,,father,1,4,0,yes,no,no,no,yes,yes,no,no,4.0,3,3,1,1,4,10,3.5,3.75,3.75
144,GP,F,17,U,GT3,T,2,4,services,services,,father,1,2,0,no,yes,no,yes,yes,yes,no,no,5.0,4,2,2,3,5,0,5.0,5.25,5.25
145,GP,F,18,U,GT3,T,2,2,at_home,services,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,3,3,1,1,3,0,3.25,3.5,1.0
146,MS,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,1,no,yes,no,no,no,yes,yes,no,2.0,5,5,5,5,5,10,3.75,4.25,4.25
147,GP,M,16,U,GT3,T,4,4,teacher,teacher,,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,4,1,2,5,-1,4.75,4.75,5.0
148,GP,M,15,U,GT3,T,4,2,teacher,other,,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4.0,3,3,2,2,5,-1,4.75,4.75,4.5
149,GP,F,15,U,GT3,T,4,4,teacher,health,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3.0,3,3,1,2,2,0,3.5,3.0,3.25
150,GP,M,18,U,GT3,T,4,2,health,other,,father,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5.0,4,5,1,3,5,10,3.5,3.25,3.5
151,GP,M,17,U,LE3,T,4,4,other,teacher,home,father,2,1,0,no,no,yes,no,yes,yes,yes,no,4.0,1,1,2,2,5,0,3.75,3.75,3.5
152,GP,F,16,U,GT3,T,3,3,other,services,,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,3,2,4,5,54,3.75,4.0,3.75
153,GP,F,17,U,GT3,T,4,4,teacher,teacher,,mother,2,3,0,no,yes,yes,no,no,yes,yes,yes,4.0,3,3,1,2,4,4,4.5,4.5,4.5
154,GP,M,16,U,GT3,T,3,1,other,other,,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,2,1,1,5,0,4.25,4.75,4.75
155,GP,M,16,U,LE3,T,2,1,other,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4.0,2,3,1,2,5,0,4.75,4.75,4.75
156,MS,M,18,R,GT3,T,2,1,other,other,,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4.0,4,3,1,3,5,5,2.75,2.5,2.75
157,GP,M,16,U,GT3,T,1,0,other,other,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,3,2,1,1,3,2,4.25,4.75,5.0
158,GP,M,18,U,GT3,T,2,2,services,other,,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4.0,4,4,2,4,5,15,2.5,2.75,3.0
159,GP,M,17,U,LE3,A,4,1,services,other,,mother,2,1,0,no,no,yes,yes,yes,yes,yes,yes,4.0,5,4,2,4,5,30,3.0,3.0,3.0
160,GP,F,15,U,LE3,T,4,3,services,services,,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4.0,4,4,2,4,2,0,3.5,3.5,3.5
161,GP,M,18,U,LE3,T,4,3,teacher,services,,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4.0,2,3,1,2,1,8,3.5,3.75,3.5
162,MS,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,no,yes,yes,yes,no,yes,yes,yes,4.0,5,5,1,3,2,4,4.25,3.75,3.75
