,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G_avg
35,GP,M,16,U,LE3,T,4,3,health,other,,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,1,3,1,3,5,4,3.0,3.5,3.5,3.3333333333333335
36,MS,F,18,R,GT3,T,4,4,teacher,at_home,,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,3,2,2,5,7,2.5,2.25,2.5,2.4166666666666665
37,GP,F,15,U,GT3,T,1,1,other,other,,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4.0,3,2,2,3,4,2,3.25,3.5,3.5,3.4166666666666665
38,GP,M,16,U,GT3,T,3,1,other,other,,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,2,1,1,5,0,4.25,4.75,4.75,4.583333333333333
39,GP,F,17,U,GT3,T,2,3,at_home,other,,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3.0,3,3,1,4,3,3,2.75,2.75,3.0,2.8333333333333335
40,GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,no,3.0,2,4,2,4,4,13,2.5,2.5,3.0,2.6666666666666665
41,GP,F,17,U,LE3,T,4,2,teacher,services,,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4.0,2,3,1,1,4,6,4.5,4.0,4.25,4.25
42,GP,F,18,U,GT3,T,4,3,other,other,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,3,4,1,1,5,9,3.25,3.5,3.25,3.3333333333333335
43,GP,M,18,U,LE3,T,1,1,other,other,,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2.0,3,5,2,5,4,0,2.5,2.25,1.0,1.9166666666666667
44,GP,F,18,R,GT3,T,1,1,at_home,other,,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5.0,2,5,1,5,4,6,3.25,3.0,3.5,3.25
45,MS,F,18,U,LE3,T,1,1,at_home,services,,father,2,3,0,no,no,no,no,yes,yes,yes,no,5.0,3,2,1,1,4,0,5.5,5.0,5.0,5.166666666666667
46,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2.0,2,4,2,4,1,4,4.75,5.0,4.75,4.833333333333333
47,GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,4.0,3,3,2,2,2,-1,3.5,3.5,1.0,2.6666666666666665
48,GP,F,16,U,LE3,T,3,3,other,other,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,4,5,1,1,4,4,3.5,3.75,3.25,3.5
49,GP,F,17,U,LE3,T,3,2,other,other,,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,4.0,4,4,1,3,1,2,4.5,4.75,4.75,4.666666666666667
50,GP,F,16,R,GT3,T,4,4,health,teacher,,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2.0,4,4,2,3,4,6,3.5,3.75,3.75,3.6666666666666665
51,GP,F,16,U,LE3,T,2,2,other,at_home,,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4.0,3,3,2,2,5,14,3.5,3.5,3.25,3.4166666666666665
52,GP,M,16,R,GT3,T,2,1,other,other,,mother,2,1,0,no,no,no,yes,no,yes,no,no,3.0,3,2,1,3,3,0,3.0,3.25,3.0,3.0833333333333335
53,GP,M,16,U,GT3,T,2,2,services,other,,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4.0,4,2,1,1,3,12,3.75,3.5,3.5,3.5833333333333335
54,MS,F,17,R,GT3,T,3,1,at_home,other,,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4.0,5,4,2,3,1,17,3.5,3.5,3.5,3.5
55,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,1,5,2,3.75,4.25,4.25,4.083333333333333
56,GP,F,16,R,GT3,T,3,3,services,other,,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4.0,1,2,1,1,2,-1,2.75,3.5,3.5,3.25
57,GP,F,17,U,LE3,T,2,4,services,services,,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,3,2,1,1,5,0,4.5,4.75,4.75,4.666666666666667
58,GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,3.0,1,3,1,5,3,4,3.0,3.25,3.5,3.25
59,GP,M,16,U,LE3,T,2,2,services,services,,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2.0,3,3,2,2,2,8,3.25,3.25,3.25,3.25
60,GP,M,17,U,GT3,T,2,3,other,other,,father,2,1,0,no,no,no,no,yes,yes,yes,no,5.0,2,2,1,1,2,4,4.0,4.0,4.25,4.083333333333333
61,GP,M,17,R,LE3,T,2,1,at_home,other,,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3.0,3,2,2,2,5,0,2.75,2.5,1.0,2.0833333333333335
62,GP,M,16,U,GT3,T,3,3,other,services,,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4.0,5,5,4,4,5,4,3.5,4.0,4.0,3.8333333333333335
63,GP,F,17,U,GT3,T,1,1,at_home,other,,mother,1,3,1,no,yes,no,yes,yes,yes,no,yes,4.0,3,4,1,1,5,0,2.5,2.25,1.0,1.9166666666666667
64,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,2,1,1,4,5,16,4.0,3.75,3.75,3.8333333333333335
65,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,4,1,1,1,1,0,4.25,4.5,4.75,4.5
66,GP,M,17,R,GT3,T,1,3,other,other,,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5.0,2,4,1,4,5,20,3.25,2.75,3.0,3.0
67,MS,M,18,U,GT3,T,4,4,teacher,teacher,,father,1,2,0,no,no,yes,yes,no,yes,yes,no,3.0,2,4,1,4,2,4,4.75,4.5,4.5,4.583333333333333
68,GP,F,18,U,GT3,T,2,4,services,at_home,,other,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4.0,4,3,1,1,3,8,4.5,4.0,4.0,4.166666666666667
69,GP,F,18,U,GT3,T,2,3,at_home,other,,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4.0,3,3,1,2,3,4,3.75,3.5,3.5,3.5833333333333335
70,GP,M,16,U,LE3,T,2,1,other,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4.0,2,3,1,2,5,0,4.75,4.75,4.75,4.75
71,GP,F,16,U,GT3,T,2,3,services,services,,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,3,3,1,1,2,10,3.75,4.0,4.25,4.0
72,GP,M,16,U,LE3,T,4,3,services,other,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,2,1,2,5,10,4.75,4.75,4.75,4.75
73,MS,M,18,R,GT3,T,2,1,other,other,,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4.0,4,3,1,3,5,5,2.75,2.5,2.75,2.6666666666666665
74,GP,M,18,U,GT3,T,3,2,services,other,course,mother,2,1,1,no,no,no,no,yes,no,yes,no,4.0,4,5,2,4,5,0,2.5,3.0,3.0,2.8333333333333335
75,GP,M,16,U,GT3,T,2,1,other,other,,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4.0,3,3,1,1,4,6,5.5,5.5,5.5,5.5
76,GP,M,16,U,GT3,T,1,0,other,other,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,3,2,1,1,3,2,4.25,4.75,5.0,4.666666666666667
77,MS,F,17,U,LE3,T,4,4,at_home,at_home,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,2.0,3,4,1,1,1,0,5.0,4.75,4.75,4.833333333333333
78,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,2,2,1,1,1,0,5.0,5.5,5.75,5.416666666666667
79,GP,F,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,no,no,yes,no,yes,yes,no,no,5.0,4,3,1,2,5,12,4.5,4.25,4.25,4.333333333333333
80,GP,F,17,U,,T,2,2,other,other,,father,1,1,0,no,,no,no,yes,yes,yes,yes,,4,4,1,3,5,12,3.5,4.25,4.0,3.9166666666666665
81,GP,M,16,U,GT3,T,4,4,teacher,teacher,,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,4,1,2,5,-1,4.75,4.75,5.0,4.833333333333333
82,GP,F,16,U,GT3,T,2,2,at_home,other,,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3.0,1,2,1,1,5,6,3.5,4.25,4.25,4.0
83,GP,M,17,U,LE3,T,2,3,services,services,,father,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,3,3,1,3,3,2,4.0,3.75,4.0,3.9166666666666665
84,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,4,1,1,4,6,3.75,4.25,4.5,4.166666666666667
85,GP,F,15,U,LE3,T,4,3,services,services,,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4.0,4,4,2,4,2,0,3.5,3.5,3.5,3.5
86,GP,F,19,U,LE3,T,1,1,at_home,other,,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,4.0,4,3,1,3,3,18,4.0,3.5,3.5,3.6666666666666665
87,GP,M,18,U,GT3,T,2,2,services,other,,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4.0,4,4,2,4,5,15,2.5,2.75,3.0,2.75
88,MS,F,17,U,GT3,T,2,2,other,at_home,,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3.0,4,3,1,1,3,8,4.25,3.75,3.75,3.9166666666666665
89,GP,M,16,U,GT3,T,2,3,other,other,,father,2,1,0,no,no,no,no,yes,yes,yes,no,5.0,3,3,1,1,3,0,4.25,4.5,4.5,4.416666666666667
90,GP,M,17,U,GT3,T,3,3,services,services,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3,4,2,3,4,12,4.0,4.0,3.75,3.9166666666666665
91,GP,F,15,U,GT3,T,4,2,other,other,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,3,1,4,4.25,4.5,4.5,4.416666666666667
92,GP,M,16,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3.0,4,3,2,3,3,10,3.25,3.0,3.0,3.0833333333333335
93,GP,M,15,U,GT3,T,2,2,other,other,,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4.0,2,2,1,2,5,2,4.0,4.0,3.75,3.9166666666666665
94,MS,M,19,R,GT3,T,1,1,other,services,,other,3,2,3,no,no,no,no,yes,yes,yes,no,5.0,4,4,3,3,2,8,3.0,2.75,3.0,2.9166666666666665
95,GP,M,15,U,,A,3,4,services,other,,mother,1,2,0,no,,yes,yes,yes,yes,yes,no,,4,4,1,1,1,0,5.0,5.5,5.5,5.333333333333333
96,MS,F,18,U,GT3,T,1,1,other,other,,mother,2,2,1,no,no,no,yes,yes,yes,no,no,1.0,1,1,1,1,5,0,2.5,2.25,1.0,1.9166666666666667
97,GP,F,17,U,LE3,T,4,3,health,other,,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3.0,2,3,1,2,3,14,4.25,4.25,4.5,4.333333333333333
98,GP,F,15,R,GT3,T,3,4,services,teacher,,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4.0,2,2,2,2,5,0,4.0,1.0,1.0,2.0
99,GP,F,17,U,GT3,T,3,4,services,other,,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4.0,4,5,1,3,5,16,5.0,4.75,4.75,4.833333333333333
100,GP,M,18,R,GT3,T,2,2,services,other,,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3.0,3,3,1,2,4,0,2.75,2.0,1.0,1.9166666666666667
101,GP,M,15,U,LE3,T,4,3,teacher,services,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,3,1,1,4,2,4.75,5.0,5.5,5.083333333333333
102,GP,M,18,R,GT3,T,4,3,teacher,services,,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5.0,3,2,1,2,4,9,5.0,4.75,5.0,4.916666666666667
103,GP,F,15,U,GT3,T,4,2,health,services,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2,2,1,1,5,2,4.75,4.5,4.75,4.666666666666667
104,GP,M,18,R,GT3,T,3,2,other,other,,mother,1,3,0,no,no,no,yes,no,yes,no,no,5.0,3,2,1,1,3,1,4.25,4.0,4.0,4.083333333333333
105,GP,M,15,U,LE3,T,2,2,services,services,,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5.0,3,3,1,3,4,4,4.75,4.75,4.75,4.75
106,GP,M,18,U,GT3,T,2,1,services,services,,mother,1,1,1,no,no,no,no,no,no,yes,no,3.0,2,5,2,5,5,4,2.5,3.25,3.0,2.9166666666666665
107,GP,M,15,U,LE3,A,4,4,teacher,teacher,,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,5,3,1,1,4,6,5.5,5.75,5.75,5.666666666666667
108,GP,F,17,U,GT3,T,1,1,services,teacher,,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,1,3,6,4.25,4.0,4.0,4.083333333333333
109,GP,M,16,U,GT3,T,4,4,health,other,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,2,4,2,4,1,2,4.5,4.25,4.25,4.333333333333333
110,GP,F,16,U,LE3,T,2,2,at_home,other,,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,3,4,1,2,2,4,3.0,2.75,2.5,2.75
111,GP,M,15,U,GT3,T,4,2,other,other,,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3.0,3,3,1,1,3,0,3.5,3.5,3.5,3.5
112,GP,F,18,U,LE3,T,3,3,services,services,,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5.0,3,3,1,1,1,7,5.0,4.75,5.25,5.0
113,GP,M,18,U,GT3,T,2,2,other,services,,father,1,2,1,no,no,no,no,yes,no,yes,no,5.0,5,4,3,5,2,0,2.75,2.75,1.0,2.1666666666666665
114,GP,F,16,U,GT3,T,4,2,teacher,services,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,3,3,1,1,1,0,3.75,3.5,3.5,3.5833333333333335
115,GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,2,no,no,yes,no,yes,yes,yes,yes,3.0,4,5,2,4,1,22,2.5,2.5,2.0,2.3333333333333335
116,MS,F,19,U,LE3,T,3,2,services,services,,other,2,2,2,no,no,no,yes,yes,yes,no,yes,3.0,2,2,1,1,3,4,2.75,2.75,3.25,2.9166666666666665
117,GP,M,16,U,GT3,T,3,3,services,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4.0,2,3,1,2,3,2,4.0,4.25,4.0,4.083333333333333
118,GP,M,22,U,GT3,T,3,1,services,services,,mother,1,1,3,no,no,no,no,no,no,yes,yes,5.0,4,5,5,5,1,16,2.5,3.0,3.0,2.8333333333333335
119,GP,F,16,U,,T,1,1,at_home,other,,mother,2,1,0,no,,yes,no,yes,yes,no,no,,3,2,1,4,5,6,3.25,3.25,3.5,3.3333333333333335
120,GP,F,15,U,GT3,T,2,1,services,other,,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,2,2,1,1,4,4,3.5,4.0,4.0,3.8333333333333335
121,GP,M,17,U,GT3,T,3,3,health,other,,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,3,1,3,5,4,4.5,4.0,3.75,4.083333333333333
122,GP,F,18,R,LE3,T,1,1,at_home,other,,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,5.0,2,2,1,1,3,1,4.0,4.0,4.0,4.0
123,GP,F,15,U,GT3,A,3,3,other,health,,father,1,4,0,yes,no,no,no,yes,yes,no,no,4.0,3,3,1,1,4,10,3.5,3.75,3.75,3.6666666666666665
124,GP,F,17,U,,T,1,1,at_home,services,,mother,1,2,0,no,,no,yes,yes,yes,yes,no,,3,3,1,1,3,0,3.0,3.0,3.25,3.0833333333333335
125,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4.0,2,2,1,1,5,2,3.25,3.75,3.75,3.5833333333333335
126,GP,F,15,U,GT3,T,1,1,other,services,,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,2,1,2,5,0,3.0,3.75,3.75,3.5
127,GP,M,16,U,GT3,T,1,2,services,services,,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,3.0,3,3,1,2,3,2,3.75,4.0,3.75,3.8333333333333335
128,GP,M,15,U,,T,4,3,teacher,other,,mother,1,2,0,no,,yes,yes,yes,yes,yes,no,,3,3,2,3,5,6,3.25,3.25,3.5,3.3333333333333335
129,GP,M,18,U,GT3,T,4,4,other,other,,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4.0,3,3,2,2,3,3,3.25,4.0,3.75,3.6666666666666665
130,GP,M,18,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4.0,3,2,1,1,3,2,3.0,3.0,3.0,3.0
131,GP,F,15,R,GT3,T,3,4,services,health,,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,5,-1,4.0,4.0,3.75,3.9166666666666665
132,GP,F,18,U,GT3,T,4,4,health,health,,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2.0,4,4,1,1,4,15,3.25,3.0,3.0,3.0833333333333335
133,GP,F,16,U,LE3,T,4,3,teacher,services,,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,3,1,2,1,2,5.0,4.75,4.75,4.833333333333333
134,GP,M,16,U,GT3,T,3,4,other,other,,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3.0,4,5,2,4,2,-1,2.5,2.25,1.0,1.9166666666666667
135,GP,M,16,U,GT3,T,4,4,teacher,teacher,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,5,5,5,5,16,3.5,4.0,3.75,3.75
136,GP,F,17,U,LE3,T,3,3,other,other,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5.0,3,3,2,3,1,56,3.25,3.25,3.0,3.1666666666666665
137,GP,F,18,U,LE3,T,2,1,services,at_home,,mother,1,2,1,no,no,no,no,yes,yes,yes,yes,5.0,4,3,1,1,5,12,4.0,4.0,4.25,4.083333333333333
138,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5.0,5,5,2,4,5,16,2.5,2.25,2.25,2.3333333333333335
139,GP,M,16,U,GT3,T,4,4,health,other,,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3.0,4,4,1,4,5,18,4.5,3.75,4.25,4.166666666666667
140,GP,M,16,R,GT3,T,4,2,teacher,services,,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3,3,3,4,3,10,3.5,3.0,3.25,3.25
141,GP,F,15,U,GT3,T,4,4,teacher,teacher,,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4.0,3,2,1,1,5,0,5.0,5.0,4.75,4.916666666666667
142,GP,F,18,R,GT3,T,2,1,other,other,,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,4.0,3,5,1,2,3,0,2.5,1.0,1.0,1.5
143,GP,M,18,U,,T,2,1,services,services,,mother,1,3,0,no,,yes,yes,yes,yes,yes,no,,2,4,1,3,2,6,4.75,4.5,4.5,4.583333333333333
144,MS,F,17,R,GT3,T,1,2,other,services,,father,2,2,0,no,no,no,no,no,yes,no,no,3.0,2,2,1,2,3,0,4.0,3.75,4.0,3.9166666666666665
145,MS,F,18,R,GT3,T,2,2,at_home,other,,mother,2,3,0,no,no,yes,no,yes,yes,no,no,5.0,3,3,1,3,4,2,3.5,3.25,3.5,3.4166666666666665
146,GP,M,17,R,LE3,T,1,1,other,services,,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5.0,3,5,1,5,5,0,2.25,3.0,2.75,2.6666666666666665
147,GP,F,19,U,GT3,T,4,4,health,other,,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,2.0,3,4,2,3,2,0,3.5,3.25,1.0,2.5833333333333335
148,GP,F,17,U,GT3,T,4,4,teacher,teacher,,mother,2,3,0,no,yes,yes,no,no,yes,yes,yes,4.0,3,3,1,2,4,4,4.5,4.5,4.5,4.5
149,GP,F,16,U,GT3,T,4,4,health,health,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4.0,4,2,1,1,3,0,4.5,4.5,4.5,4.5
150,GP,M,15,U,GT3,T,3,4,other,other,,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4,3,1,2,4,6,4.5,4.25,4.25,4.333333333333333
